#v / cm^-1	Intensity / AU
2082	0.000112898
2081	0.000113284
2080	0.000113673
2079	0.000114064
2078	0.000114458
2077	0.000114853
2076	0.00011525
2075	0.00011565
2074	0.000116052
2073	0.000116456
2072	0.000116862
2071	0.000117271
2070	0.000117682
2069	0.000118095
2068	0.00011851
2067	0.000118928
2066	0.000119348
2065	0.000119771
2064	0.000120196
2063	0.000120623
2062	0.000121052
2061	0.000121484
2060	0.000121919
2059	0.000122356
2058	0.000122795
2057	0.000123237
2056	0.000123682
2055	0.000124129
2054	0.000124579
2053	0.000125031
2052	0.000125486
2051	0.000125943
2050	0.000126403
2049	0.000126866
2048	0.000127331
2047	0.0001278
2046	0.000128271
2045	0.000128744
2044	0.000129221
2043	0.0001297
2042	0.000130182
2041	0.000130667
2040	0.000131155
2039	0.000131646
2038	0.000132139
2037	0.000132636
2036	0.000133136
2035	0.000133638
2034	0.000134144
2033	0.000134653
2032	0.000135164
2031	0.000135679
2030	0.000136197
2029	0.000136718
2028	0.000137243
2027	0.00013777
2026	0.000138301
2025	0.000138835
2024	0.000139373
2023	0.000139913
2022	0.000140457
2021	0.000141005
2020	0.000141555
2019	0.00014211
2018	0.000142667
2017	0.000143229
2016	0.000143793
2015	0.000144362
2014	0.000144934
2013	0.000145509
2012	0.000146088
2011	0.000146671
2010	0.000147258
2009	0.000147848
2008	0.000148442
2007	0.00014904
2006	0.000149642
2005	0.000150248
2004	0.000150857
2003	0.000151471
2002	0.000152088
2001	0.00015271
2000	0.000153336
1999	0.000153966
1998	0.0001546
1997	0.000155238
1996	0.00015588
1995	0.000156527
1994	0.000157178
1993	0.000157833
1992	0.000158493
1991	0.000159157
1990	0.000159825
1989	0.000160499
1988	0.000161176
1987	0.000161858
1986	0.000162545
1985	0.000163237
1984	0.000163933
1983	0.000164634
1982	0.00016534
1981	0.000166051
1980	0.000166767
1979	0.000167487
1978	0.000168213
1977	0.000168944
1976	0.00016968
1975	0.000170421
1974	0.000171167
1973	0.000171918
1972	0.000172675
1971	0.000173437
1970	0.000174205
1969	0.000174978
1968	0.000175756
1967	0.000176541
1966	0.000177331
1965	0.000178126
1964	0.000178927
1963	0.000179734
1962	0.000180547
1961	0.000181366
1960	0.000182191
1959	0.000183022
1958	0.000183859
1957	0.000184703
1956	0.000185552
1955	0.000186408
1954	0.000187271
1953	0.000188139
1952	0.000189015
1951	0.000189896
1950	0.000190785
1949	0.00019168
1948	0.000192582
1947	0.000193491
1946	0.000194407
1945	0.00019533
1944	0.00019626
1943	0.000197197
1942	0.000198141
1941	0.000199093
1940	0.000200052
1939	0.000201019
1938	0.000201993
1937	0.000202975
1936	0.000203965
1935	0.000204963
1934	0.000205968
1933	0.000206982
1932	0.000208003
1931	0.000209033
1930	0.000210071
1929	0.000211117
1928	0.000212172
1927	0.000213236
1926	0.000214308
1925	0.000215389
1924	0.000216479
1923	0.000217578
1922	0.000218686
1921	0.000219803
1920	0.000220929
1919	0.000222065
1918	0.00022321
1917	0.000224365
1916	0.00022553
1915	0.000226705
1914	0.000227889
1913	0.000229084
1912	0.000230289
1911	0.000231504
1910	0.00023273
1909	0.000233966
1908	0.000235213
1907	0.000236471
1906	0.00023774
1905	0.000239021
1904	0.000240312
1903	0.000241615
1902	0.000242929
1901	0.000244255
1900	0.000245593
1899	0.000246943
1898	0.000248306
1897	0.00024968
1896	0.000251067
1895	0.000252467
1894	0.000253879
1893	0.000255304
1892	0.000256743
1891	0.000258195
1890	0.00025966
1889	0.000261139
1888	0.000262632
1887	0.000264139
1886	0.00026566
1885	0.000267195
1884	0.000268745
1883	0.00027031
1882	0.00027189
1881	0.000273485
1880	0.000275096
1879	0.000276722
1878	0.000278364
1877	0.000280022
1876	0.000281696
1875	0.000283387
1874	0.000285095
1873	0.000286819
1872	0.000288561
1871	0.00029032
1870	0.000292097
1869	0.000293892
1868	0.000295706
1867	0.000297537
1866	0.000299388
1865	0.000301257
1864	0.000303146
1863	0.000305054
1862	0.000306983
1861	0.000308931
1860	0.0003109
1859	0.00031289
1858	0.000314901
1857	0.000316933
1856	0.000318987
1855	0.000321063
1854	0.000323162
1853	0.000325283
1852	0.000327428
1851	0.000329596
1850	0.000331788
1849	0.000334004
1848	0.000336244
1847	0.00033851
1846	0.000340801
1845	0.000343118
1844	0.000345461
1843	0.000347831
1842	0.000350228
1841	0.000352652
1840	0.000355104
1839	0.000357585
1838	0.000360094
1837	0.000362633
1836	0.000365202
1835	0.000367801
1834	0.000370431
1833	0.000373093
1832	0.000375786
1831	0.000378512
1830	0.000381271
1829	0.000384064
1828	0.00038689
1827	0.000389752
1826	0.000392649
1825	0.000395582
1824	0.000398552
1823	0.000401559
1822	0.000404604
1821	0.000407688
1820	0.000410811
1819	0.000413974
1818	0.000417178
1817	0.000420424
1816	0.000423712
1815	0.000427043
1814	0.000430418
1813	0.000433838
1812	0.000437304
1811	0.000440816
1810	0.000444376
1809	0.000447984
1808	0.000451641
1807	0.000455349
1806	0.000459107
1805	0.000462918
1804	0.000466782
1803	0.000470701
1802	0.000474674
1801	0.000478705
1800	0.000482793
1799	0.00048694
1798	0.000491147
1797	0.000495415
1796	0.000499746
1795	0.000504141
1794	0.000508601
1793	0.000513127
1792	0.000517722
1791	0.000522386
1790	0.000527121
1789	0.000531929
1788	0.00053681
1787	0.000541768
1786	0.000546803
1785	0.000551917
1784	0.000557112
1783	0.000562389
1782	0.000567752
1781	0.000573201
1780	0.000578738
1779	0.000584366
1778	0.000590087
1777	0.000595902
1776	0.000601815
1775	0.000607827
1774	0.000613941
1773	0.000620159
1772	0.000626484
1771	0.000632919
1770	0.000639465
1769	0.000646127
1768	0.000652906
1767	0.000659805
1766	0.000666829
1765	0.000673979
1764	0.00068126
1763	0.000688674
1762	0.000696225
1761	0.000703917
1760	0.000711753
1759	0.000719737
1758	0.000727874
1757	0.000736167
1756	0.00074462
1755	0.000753238
1754	0.000762025
