"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"481","967.1493","0.0","0.0"
"482","967.1547","0.0","0.0"
"483","967.8443","0.1352","0.0"
"484","967.9852","0.0002","0.0"
"485","968.2093","0.0","0.0"
"486","968.2096","0.0","0.0"
"487","968.3984","0.0","0.0"
"488","968.3985","0.0","0.0"
"489","968.5749","0.0","0.0"
"490","968.5775","0.0","0.0"
"491","968.9475","0.0001","0.0"
"492","968.9897","0.0","0.0"
"493","969.7956","0.01","0.0"
"494","969.8042","0.01","0.0"
"495","970.0728","0.0001","0.0011"
"496","970.3404","0.0","0.0"
"497","993.5688","0.0","0.0"
"498","993.6223","0.0","0.0"
"499","993.6989","0.0","0.0031"
"500","993.7065","0.0","0.0976"
"501","997.4058","0.0","0.0001"
"502","997.58","0.0","0.001"
"503","997.5927","0.0","0.0"
"504","997.9359","0.0","0.0016"
"505","997.9576","0.0","0.0006"
"506","998.0885","0.0","0.0"
"507","998.1087","0.0","0.0015"
"508","998.3422","0.0","0.2342"
"509","1019.76","0.0","0.0"
"510","1019.8251","0.0","0.0"
"511","1019.8334","0.0","0.0"
"512","1019.8343","0.0","0.0"
"513","1019.874","0.0","0.0"
"514","1019.8813","0.0","0.0"
"515","1019.883","0.0","0.0"
"516","1019.9312","0.0","0.0"
"517","1021.8535","0.0","0.0"
"518","1021.8578","0.0","0.0"
"519","1021.8721","0.0","0.0"
"520","1021.8892","0.0","0.0"
"521","1154.841","0.0","0.0"
"522","1154.9767","0.0","0.0"
"523","1155.0606","0.0","0.0"
"524","1155.1408","0.0","0.0"
"525","1157.3291","0.0","0.0"
"526","1157.5032","0.0","0.0"
"527","1157.5115","0.0","0.0"
"528","1157.5138","0.0","0.0"
"529","1158.0695","0.0","0.0"
"530","1158.0736","0.0","0.0"
"531","1158.0995","0.0","0.0"
"532","1158.2331","0.0","0.0"
"533","1164.6842","0.0","0.0"
"534","1164.7822","0.7384","0.0"
"535","1165.8149","0.0","0.0"
"536","1167.6656","0.0","0.0"
"537","1177.4285","0.0005","0.0"
"538","1177.4367","0.0","0.0"
"539","1177.8094","0.0007","0.0"
"540","1178.4524","0.0002","0.0"
"541","1178.4539","0.0","0.0"
"542","1179.5618","0.0013","0.0"
"543","1179.5818","0.0001","0.0"
"544","1180.6849","1.034","0.0"
"545","1184.5682","0.0059","0.0"
"546","1185.8014","0.5625","0.0"
"547","1185.9649","0.5675","0.0"
"548","1190.1153","0.0004","0.0"
"549","1190.6386","0.0073","0.0"
"550","1191.2862","0.0043","0.0"
"551","1191.3216","0.0224","0.0"
"552","1193.7037","0.0014","0.0"
"553","1195.915","0.0002","0.0"
"554","1196.5611","0.0","0.0"
"555","1196.6177","0.0005","0.0"
"556","1198.3986","0.0023","0.0023"
"557","1214.5919","0.0","0.0"
"558","1214.5921","0.0","0.0"
"559","1214.7336","0.0","0.0"
"560","1214.7337","0.0","0.0"
"561","1215.9821","0.0","0.0"
"562","1216.0597","0.0","0.0"
"563","1216.0616","0.0","0.0"
"564","1216.2093","0.0","0.0"
"565","1216.589","0.0","0.0"
"566","1216.7838","0.0","0.0"
"567","1216.7998","0.0014","0.0"
"568","1216.8","0.0014","0.0"
"569","1300.777","0.2478","0.0"
"570","1300.7794","0.2477","0.0"
"571","1302.3874","0.0","0.0"
"572","1302.389","0.0002","0.0"
"573","1306.8586","0.0001","0.0"
"574","1306.9447","0.0004","0.0"
"575","1306.9491","0.0","0.0"
"576","1307.0564","1.2833","0.0"
"577","1315.0874","0.0002","0.0"
"578","1315.7721","0.0002","0.0"
"579","1317.4025","0.3506","0.0"
"580","1317.4133","0.3505","0.0"
"581","1340.8405","0.0","0.0389"
"582","1343.0982","0.0","0.0"
"583","1344.2212","0.0","0.0"
"584","1346.4518","0.0","0.0"
"585","1351.058","0.0","0.0001"
"586","1351.7167","0.0001","0.0002"
"587","1351.7332","0.0001","0.0"
"588","1353.5308","0.0","0.0001"
"589","1362.9393","0.0","0.0"
"590","1363.9086","0.0","0.0"
"591","1363.9326","0.0","0.0"
"592","1369.318","0.0","1.0188"
"593","1397.9035","0.0","0.0"
"594","1398.1632","0.0","0.0"
"595","1398.1893","0.0","0.0"
"596","1398.2791","0.0","0.0"
"597","1398.2834","0.0","0.0"
"598","1398.2835","0.0","0.0"
"599","1398.2876","0.0","0.0"
"600","1398.3572","0.0","0.0"
"601","1398.7581","0.0","0.0"
"602","1398.7587","0.0","0.0"
"603","1398.964","0.0","0.0"
"604","1399.0271","0.0","0.0"
"605","1412.4825","0.1579","0.0"
"606","1412.4846","0.158","0.0"
"607","1413.8235","0.0","0.0"
"608","1413.8238","0.0","0.0"
"609","1416.8126","0.0535","0.0"
"610","1416.8289","0.0069","0.0"
"611","1416.8358","0.0001","0.0"
"612","1416.8462","0.745","0.0001"
"613","1421.6415","0.08","0.0"
"614","1421.6421","0.0797","0.0"
"615","1421.802","0.0","0.0"
"616","1421.802","0.0","0.0"
"617","1422.0892","0.0","0.0"
"618","1422.1276","0.0","0.0"
"619","1422.1276","0.0","0.0"
"620","1422.2107","0.0","0.0"
"621","1422.2475","0.0","0.0"
"622","1422.3798","0.0263","0.0"
"623","1422.3799","0.0263","0.0"
"624","1422.549","0.0","0.0"
"625","1424.79","0.0002","0.0"
"626","1426.43","0.2426","0.0"
"627","1426.4399","0.2428","0.0"
"628","1427.4965","0.0002","0.0"
"629","1489.3066","0.0","0.0"
"630","1489.3748","0.0","0.0172"
"631","1489.4954","0.0","0.0"
"632","1489.5986","0.0","0.0"
"633","1490.6768","0.0","0.0"
"634","1490.7469","0.0","0.0001"
"635","1490.7521","0.0","0.0"
"636","1490.9232","0.0","0.0"
"637","1492.3695","0.0","0.0"
"638","1492.5237","0.0","0.0"
"639","1492.5294","0.0","0.0"
"640","1493.0292","0.0","0.0838"
"641","1609.2943","0.0","0.0"
"642","1609.9718","0.0","0.0"
"643","1610.8152","0.0013","0.0"
"644","1611.8198","0.0","0.0"
"645","1611.8355","0.0064","0.0"
"646","1611.8725","0.0003","0.0"
"647","1612.5948","0.0373","0.0"
"648","1612.6244","0.0123","0.0"
"649","1613.2485","0.0126","0.0"
"650","1613.3058","0.008","0.0"
"651","1615.5614","2.632","0.0"
"652","1615.5634","2.6287","0.0"
"653","1617.2905","0.0","0.0"
"654","1617.294","0.0","0.0"
"655","1627.0958","0.0","0.0"
"656","1627.8717","0.0","0.0"
"657","1628.4861","0.0","0.0"
"658","1633.0895","0.0","0.0"
"659","1635.0518","0.0","0.0"
"660","1635.0528","0.0","0.0"
"661","1635.8398","0.0397","0.0"
"662","1635.8406","0.0399","0.0"
"663","1636.7567","0.0","0.0"
"664","1636.9118","0.0","0.0"
